datetime,symbol,open,high,low,close,volume,log_returns
2025-08-11 03:45:00+00:00,NSE:TITAN,3473.0,3487.3,3402.8,3467.9,563586.0,
2025-08-12 03:45:00+00:00,NSE:TITAN,3467.9,3534.0,3460.1,3486.8,929276.0,0.0054351867161640515
2025-08-13 03:45:00+00:00,NSE:TITAN,3486.8,3494.9,3463.2,3466.8,360474.0,-0.005752431877231098
2025-08-14 03:45:00+00:00,NSE:TITAN,3476.5,3505.8,3464.1,3489.4,597987.0,0.006497823385611416
2025-08-18 03:45:00+00:00,NSE:TITAN,3496.0,3574.8,3493.5,3554.8,1253006.0,0.018569001218518757
2025-08-19 03:45:00+00:00,NSE:TITAN,3555.0,3577.3,3545.0,3568.1,537433.0,0.0037344383486629922
2025-08-20 03:45:00+00:00,NSE:TITAN,3560.0,3602.9,3552.0,3595.0,517031.0,0.007510749942163808
2025-08-21 03:45:00+00:00,NSE:TITAN,3595.0,3625.0,3588.2,3616.3,673486.0,0.005907412517317873
2025-08-22 03:45:00+00:00,NSE:TITAN,3616.3,3641.4,3607.7,3621.0,691835.0,0.001298827093176392
2025-08-25 03:45:00+00:00,NSE:TITAN,3629.7,3669.6,3615.5,3651.4,700503.0,0.008360424913768661
2025-08-26 03:45:00+00:00,NSE:TITAN,3662.8,3672.8,3589.1,3594.0,960778.0,-0.015844867335905524
2025-08-28 03:45:00+00:00,NSE:TITAN,3552.1,3650.9,3552.1,3637.7,989246.0,0.01208582544261334
2025-08-29 03:45:00+00:00,NSE:TITAN,3637.7,3642.0,3603.6,3628.8,660956.0,-0.002449598692739355
2025-09-01 03:45:00+00:00,NSE:TITAN,3631.0,3653.4,3610.4,3618.6,297533.0,-0.0028148044083822123
2025-09-02 03:45:00+00:00,NSE:TITAN,3614.0,3655.8,3606.1,3620.6,536300.0,0.000552547256847292
2025-09-03 03:45:00+00:00,NSE:TITAN,3605.0,3697.9,3590.0,3690.6,791874.0,0.019149288500534063
2025-09-04 03:45:00+00:00,NSE:TITAN,3740.0,3740.0,3676.8,3691.1,635811.0,0.00013547014935972202
2025-09-05 03:45:00+00:00,NSE:TITAN,3695.0,3700.0,3660.0,3665.3,454120.0,-0.007014329232141854
2025-09-08 03:45:00+00:00,NSE:TITAN,3653.0,3683.6,3640.0,3658.0,548987.0,-0.0019936374087844914
2025-09-09 03:45:00+00:00,NSE:TITAN,3667.8,3667.8,3619.2,3630.1,428367.0,-0.007656353861993149
2025-09-10 03:45:00+00:00,NSE:TITAN,3632.0,3648.7,3608.2,3620.6,408800.0,-0.002620438146974389
2025-09-11 03:45:00+00:00,NSE:TITAN,3620.0,3644.0,3580.0,3584.2,495417.0,-0.010104460832555224
2025-09-12 03:45:00+00:00,NSE:TITAN,3589.9,3598.2,3563.9,3571.9,275049.0,-0.0034376300254971414
2025-09-15 03:45:00+00:00,NSE:TITAN,3556.0,3576.5,3515.0,3534.1,362285.0,-0.010638997056668048
2025-09-16 03:45:00+00:00,NSE:TITAN,3525.0,3570.3,3502.0,3556.8,724742.0,0.00640259418280919
2025-09-17 03:45:00+00:00,NSE:TITAN,3561.9,3572.7,3513.2,3523.0,659866.0,-0.009548364868694545
2025-09-18 03:45:00+00:00,NSE:TITAN,3530.0,3546.0,3503.4,3511.3,829442.0,-0.0033265600811309653
2025-09-19 03:45:00+00:00,NSE:TITAN,3504.0,3511.3,3460.0,3467.2,2337255.0,-0.012638987478012112
2025-09-22 03:45:00+00:00,NSE:TITAN,3458.2,3477.0,3440.0,3457.5,817833.0,-0.0028015672431813284
2025-09-23 03:45:00+00:00,NSE:TITAN,3465.2,3465.3,3405.0,3439.2,1144975.0,-0.005306898356841587
2025-09-24 03:45:00+00:00,NSE:TITAN,3430.0,3437.4,3411.0,3418.3,690454.0,-0.00609553473205441
2025-09-25 03:45:00+00:00,NSE:TITAN,3408.0,3419.9,3370.0,3378.5,1139904.0,-0.011711527457788124
2025-09-26 03:45:00+00:00,NSE:TITAN,3387.7,3402.0,3303.1,3327.3,7524068.0,-0.015270659713423588
2025-09-29 03:45:00+00:00,NSE:TITAN,3327.0,3418.0,3327.0,3401.2,1452636.0,0.021967146232831816
2025-09-30 03:45:00+00:00,NSE:TITAN,3452.0,3474.5,3355.0,3367.0,1733728.0,-0.010106170350562906
2025-10-01 03:45:00+00:00,NSE:TITAN,3370.0,3414.9,3351.0,3408.3,798754.0,0.012191493082894068
