Shock,Unhedged,Delta_Hedged,Gamma+Delta_Hedged
0.01,106.51353980648173,-9.139460193518062,-9.139460193518062
-0.01,-124.79246019351763,-9.139460193517834,-9.139460193517834
0.02,222.16653980648175,-9.139460193517834,-9.139460193517834
-0.02,-240.44546019351787,-9.139460193518289,-9.139460193518289
