Strike,Strike_Price,Maturity_Days,Call_Price,Put_Price,T,IV,Call_Delta,Put_Delta,Gamma,Vega,Call_Theta,Put_Theta,Call_Rho,Put_Rho
ATM-5%,3708.135,30,226.6059368892957,10.167717162250028,0.0821917808219178,0.16606579307104338,0.8891507323574148,-0.11084926764258518,0.001017439267981019,2.1158307885240366,-1.2077519403467394,-0.5006825578286382,2.6663146164833442,-0.3639827371656591
ATM-5%,3708.135,60,261.6613915202606,24.071994515419988,0.1643835616438356,0.1660657933363126,0.8330742155206741,-0.16692578447932593,0.0009516449709386854,3.958014587874233,-1.1211818223045338,-0.4181688299492977,4.915195387095769,-1.1106302616633967
ATM-5%,3708.135,90,293.9684232492168,35.3491912698471,0.2465753424657534,0.1660657931259347,0.8085496648968957,-0.19145033510310427,0.0008470208719572726,5.284304124289463,-1.0364084714038,-0.33742859808477493,7.057093521486159,-1.9297905640441615
ATM-2%,3825.234,30,133.79740762467736,33.786402011513246,0.0821917808219178,0.1660657930712132,0.7153191887033996,-0.2846808112966004,0.0018259208329408257,3.797120513555484,-1.5607655387474333,-0.8313676494129711,2.184910669842114,-0.9410802844484358
ATM-2%,3825.234,60,175.33667016512254,53.50655536013005,0.1643835616438356,0.1660657930710662,0.6930876668141195,-0.3069123331858805,0.0013365147341812236,5.55873773086925,-1.254467517156939,-0.5292541145168007,4.158891648839043,-2.057223230933571
ATM-2%,3825.234,90,210.55082122485737,67.02677139350749,0.2465753424657534,0.1660657930710586,0.6898890606968148,-0.31011093930318523,0.0010962291711106632,6.839038469933347,-1.1070175245165144,-0.3859646025663623,6.120722834119753,-3.1499575909536306
ATM,3903.3,30,85.65300178736379,63.26013891678895,0.0821917808219178,0.16606579311609188,0.5575066783609535,-0.44249332163904653,0.0021244191250439424,4.417867026732895,-1.6236716631366095,-0.8793881025912399,1.7181886157581192,-1.4715980722934632
ATM,3903.3,60,128.072865336193,83.41560533109782,0.1643835616438356,0.16606579343077607,0.5810447880597805,-0.41895521194021945,0.001486557290757783,6.182784153289134,-1.2660196037137794,-0.5260059275503729,3.517675488781044,-2.8252988783338684
ATM,3903.3,90,163.44791093249978,96.65398253316243,0.2465753424657534,0.16606579428298618,0.5989160437121602,-0.40108395628783977,0.0012011367834682328,7.493525027634275,-1.1083326850187858,-0.3725643973145487,5.361290338144945,-4.098587646623813
ATM+2%,3981.366,30,50.26837828214707,105.4936581541615,0.0821917808219178,0.16606579307104638,0.3930851080760186,-0.6069148919239814,0.0020691998355364173,4.303034940183357,-1.4755925686948892,-0.7164233369386126,1.219775937592583,-2.0338064842200305
ATM+2%,3981.366,60,89.80256950354169,122.31816429834498,0.1643835616438356,0.16606579311380365,0.4643242183302432,-0.5356757816697568,0.0015119157340819282,6.288253188804272,-1.2005803165272961,-0.4457663668406216,2.831661619525495,-3.638172234931716
ATM+2%,3981.366,90,123.62942660771114,133.56561964038815,0.2465753424657534,0.1660657930710014,0.5041491582522981,-0.4958508417477019,0.001239366173449132,7.732026442939939,-1.0670325365821554,-0.31654888312383384,4.547381875393606,-5.101693669070527
ATM+5%,4098.465,30,18.928541869368928,190.5810358552644,0.0821917808219178,0.16606579324548185,0.18939000258516053,-0.8106099974148395,0.001457367147718023,3.0306892820081157,-0.9769661064227068,-0.19546836785006896,0.5920417439740457,-2.757234278480116
ATM+5%,4098.465,60,48.64185274235183,196.91672973700224,0.1643835616438356,0.16606579307124922,0.3015060070582395,-0.6984939929417605,0.0013259753038243655,5.5149028761683745,-0.979569480569249,-0.2025551205976721,1.8546189774377464,-4.8055041080329115
ATM+5%,4098.465,90,77.32673920132515,202.358114382022,0.2465753424657534,0.16606579307104727,0.3665049332327276,-0.6334950667672724,0.001169377114420961,7.295386112815573,-0.9325911525352736,-0.1600344504458249,3.3367856712804973,-6.596086212726699
